ProjectID,ProjectName,Description,Category
94,New Ferry Boat Construction,Replace the two Barberi class boats and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries  
97,Bruckner Expressway Westchester Creek Bridge Reconstruction,Replace existing bridge with a wider double-leaf bascule bridge.,"Bridges, Streets and Roadways  "
101,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Repair/replacement of bridge superstructure and substructure and new concrete-filled steel grid deck.,Bridges  
106,Broadway Bridge over Harlem River Replacement,"Replace deteriorated members of lift span superstructure, concrete deck replacement, and replacement of lift electrical and mechanical systems, fenders etc.",Bridges  
112,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Rehabilitation of abutments, piers, approaches, and steel superstructure and replace reinforced concrete deck.","Bridges, Streets and Roadways  "
113,Riverside Drive/West 158th Street Bridge Rehabilitation,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,"Bridges, Streets and Roadways  "
114,Madison Avenue Bridge Reconstruction,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Bridges  
120,Grand Concourse Metro North Railroad Bridge Construction,"Rehabilitate existing bridge sub and superstructure separating the NYCDOT Roadway Bridge and NYCT components. Provide new steel plate girders, concrete deck, pedestals, backwalls, sidewalks and bridge railing.",Bridges  
131,49th Avenue Bridge Replacement,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.","Bridges, Streets and Roadways  "
170,Bergen Avenue Street Reconstruction,"Roadway reconstruction Bergen Avenue and vicinity, includes sections of: Avenues N, T, U, V, W, X and Y; 66th Street and 69th through 75th Streets; Veterans Avenue and Royce Street.",Streets and Roadways  
409,"Pelham Parkway Roadway Reconstruction, Phase 2","Reconstruction of Pelham Parkway from the Bronx River Parkway to the Hutchinson River Parkway, including the north service road from Bronx Park East to Eastchester Road.",Streets and Roadways  
191,Wyckoff Avenue Street Reconstruction,Street reconstruction: Wyckoff Avenue between Flushing and Cooper Avenues in Brooklyn and Queens.,Streets and Roadways  
193,Dumbo and Vinegar Hill Area Roadway Reconstruction and Renovation,"Reconstruction and restoration of Belgian block roadways in the DUMBO and Vinegar Hill communities concurrent with installation of new water main, combined sewers and storm sewers, plus construction of the Pearl Street Triangle Plaza.",Streets and Roadways  
204,Edgewood Triangle Roadway Reconstruction,"Reconstruct roadway and extend storm and sanitary sewers in portions of Brookville Boulevard, Edgewood Street, 147th Avenue, and adjacent streets west of 241st Street.",Streets and Roadways  
206,Roma and Hett Avenue Storm and Sanitary Sewer Installation,"Roadway reconstruction and installation of new storm sewers and the replacement of sanitary sewers and water mains in the Midland Beach section, Staten Island",Sewers  
267,Emergency Communications Transformation Program (ECTP) Upgrades and Enhancements,Upgrade and enhancement of emergency infrastructure to improve cross agency communication and reduction in call response time at the City's 9-1-1 call centers.,IT  
313,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,This project will construct a blower facility and install a diffused aeration system in Dutch Kills and Newtown Creek to increase dissolved oxygen content in the project area to meet DEC standards for the water body.,Wastewater Treatment  
347,"West 59th Street Marine Transfer Station Construction, Phase 2","Phase I includes repairs to the inshore platform, replacement of scales and control equipment, dredging around the pier, and site work.",Sanitation  
364,Hannah Street Pumping Station Construction,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island. Built in 1977, the facility has numerous deficiencies, needing a comprehensive upgrade.",Wastewater Treatment  
370,Flatbush Avenue Trunk Watermain Replacement,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Wastewater Treatment  
388,2nd Avenue Watermain Trunk Construction,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Water Supply  
403,Electronic Medical Records Upgrade,Integrated Clinical Information System (ICIS) Program: Electronic Medical Records (EMR) System,"Health and Hospitals, IT  "
405,"Gilboa Dam Reconstruction, Phase III","Gilboa Dam Reconstruction Project includes construction of a new low level outlet (LLO) consisting of 2,000 feet of tunneling , an access shaft, oulet structure and gate valve controls.",Water Supply  
406,"Gilboa Dam Reconstruction, Phase IV","This project will rehabilitate the mechanics and the architecture of the Shandaken Tunnel Intake Chamber, which includes the replacement of gates and general site improvements.",Water Supply  
423,North River Wastewater Treatment Plant Cogeneration and Electrification,This project will replace the 10 existing pump and blower engines with electric motors for the main sewage pumps and a new cogeneration facility consisting of 5 new dual fuel engines and electrical service distribution upgrades.,Wastewater Treatment  
432,20th Avenue Storm and Sanitary Sewer Construction,Construction of a new storm sewer in 20th Avenue between 126th Street and US Bulkhead.,Sewers  
443,Replacement of the Esopus & Route 28A Railroad Bridges,Replacement of the Esopus & Route 28A Railroad Bridges,Bridges  
444,Reconstruction of the Port Jervis Wastewater Treatment Plant,Reconstruction of the Port Jervis WWTP as required based on the effluent limits proposed by the Delaware River Basin Commission (DRBC),Wastewater Treatment  
448,Jerome Reservoir and Aqueduct Rehabilitation,"Improvements to: fencing, vegetation, roadway, drainage, ext. above-ground retaining walls. Including repair of dam inlet archway & wingwall, re-pointing of stones & reinforcement of east reservoir wall, & leakage/seepage protection within OCA.",Water Supply  
449,Oakwood Beach WWTP Sludge Thickening Improvements,"Replacement of thickener pumps, controls/piping, digested sludge pumps, sludge mixing pumps, sludge recirculation pumps, spray water pumps, and seal water pumps. Installation of GBT and rehab of GTs",Wastewater Treatment  
450,Oakwood Beach WWTP Headworks Improvements,"Replacement of six bar screens, grit bin vibrator, six ring flushing pumps, six main sewage pumps and assoc. piping/valves and motor control center, replacement of four exhaust fans, gas and oxygen detectors and a 15 KVA transformer",Wastewater Treatment  
452,Primary Treatment Improvement at Wards Island WWTP,"Replacement of internal mechanisms, concrete repairs, effluent weirs, scum troughs, grease pit collection system, electrical upgrades, HVAC upgrades, evaluation and improvement of cross collector drainage in 10 PST.",Wastewater Treatment  
