OBJECTID,ContractNumber,ContractDescription,ContractStatus,ContractType,ContractSubtype,LastModified,OriginalAmount,RevisedAmount,VendorID,TempID,VendorName,ProjectID
1631,92200243,                                                  ,CREATED,GS   (GEN SERV),,2021/11/17 00:00:00+00,,,0,1630,Vendor Construction 10,97
2698,92200311,HAZMAT: RISK BASED RESPONSE TO BATTERY TRAINING   ,CREATED,GS   (GEN SERV),,2022/02/03 00:00:00+00,17850,17850,0,2697,Vendor Construction 10,97
2237,91100583,COMPRESSED OXYGEN                                 ,CLOSED,GENERAL,,2014/05/27 00:00:00+00,1500,1571.39,21,2236,Vendor Construction 12,97
2409,91100240,FY11 ANNUAL KEYFILE MAINTENANCE RENEWAL           ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,14020,0,23,2408,Vendor Construction 12,97
4248,91100687,GRAVE OPENING AND CLOSING AT RIVERSIDE            ,CLOSED,GS   (GEN SERV),,2012/07/19 00:00:00+00,5000,17500,28,4247,Vendor Construction 10,97
2380,91400043,GRAVE OPENING/CLOSING SERVICES                    ,CLOSED,GS   (GEN SERV),,2015/08/04 00:00:00+00,9000,9000,28,2379,Vendor Construction 10,97
3396,91100531,OUTSIDE AGENCY GRANT FY 10-11 ASHEVILLE BUNCOMBE C,CLOSED,GS   (GEN SERV),,2012/06/29 00:00:00+00,50000,49997.84,33,3395,Vendor Construction 1,97
1241,91200308,ASHEVILLE BUNC.COMM. REL COM OUTSIDE A FY 11-12   ,CLOSED,GS   (GEN SERV),,2012/08/16 00:00:00+00,45000,45000,33,1240,Vendor Construction 1,97
1456,91300149,OUTSIDE AGENCY GRANT ASHEVILLE BUNCOMBE COMM 12-13,CLOSED,GS   (GEN SERV),,2013/10/30 00:00:00+00,35000,31939.54,33,1455,Vendor Construction 1,97
2737,91400148, OUTSIDE AGENCY GRANT ABCRC - FY 13-14            ,CLOSED,GS   (GEN SERV),,2016/06/13 00:00:00+00,35000,30885.49,33,2736,Vendor Construction 1,97
507,91500043,FHAP 2014 - ASHEVILLE BUNCOMBE COMMUNITY RELATIONS,CLOSED,GS   (GEN SERV),,2015/06/20 00:00:00+00,11000,11000,33,506,Vendor Construction 1,97
2721,91000642,START-UP FUNDS FOR ASHV BUNC SPORTS COMMISSION    ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,25000,25000,35,2720,Vendor Construction 1,97
1527,91000646,SUPPORT FOR SOCON BBALL TOURN 2012-14             ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,20000,20000,35,1526,Vendor Construction 1,97
